year,total_expenditure,CPI_inflator_2024,expenditure_inflation_adjusted,num_javelin_produced,num_expended_units,num_delivered_from_year,unit_depreciated_value,non_inflation_adjusted_depreciated_value,pre_data_stockpiles_est
1994,244084000,2.12,517458080,1544,1544,0,0,0,-5000
1995,220191000,2.06,453593460,1354,1354,0,0,0,0
1996,206571000,2,413142000,1233,1233,0,0,0,0
1997,1298414,1.96,2544891.44,7,7,0,0,0,0
1998,197674096,1.93,381511005.28,1138,862,276,0,0,0
1999,385861583,1.89,729278391.87,2176,0,2176,0,0,0
2003,10408556,1.71,17798630.759999998,53,0,53,16750,13650,0
2004,41039542,1.66,68125639.72,203,0,203,33500,30300,0
2005,298911968,1.61,481248268.48,1436,0,1436,50250,46950,0
2006,69584416,1.56,108551688.96000001,324,0,324,67000,63600,0
2007,226489027.91,1.52,344263322.4232,1027,0,1027,83750,80250,0
2008,457146487.08000004,1.46,667433871.1368,1992,0,1992,100500,96900,0
2009,224980723.53,1.47,330721663.5891,987,0,987,117250,113550,0
2010,542251336.21,1.44,780841924.1424,2330,0,1526,134000,130200,0
2011,254788873.79,1.4,356704423.306,1064,0,0,150750,146850,0
2012,303448823.84,1.37,415724888.6608,1240,0,0,167500,163500,0
2013,131930029.16,1.35,178105539.366,531,0,0,184250,180150,0
2014,264258789.7,1.33,351464190.301,1049,0,0,201000,196800,0
2015,335378814.7,1.33,446053823.551,1331,0,0,217750,213450,0
2016,268784490.69,1.31,352107682.8039,1051,0,0,234500,230100,0
2017,274272653.22,1.28,351068996.12160003,1047,0,0,251250,246750,0
2018,494627048.20000005,1.25,618283810.25,1845,0,0,268000,263400,0
2019,311748371.59000003,1.23,383450497.05570006,1144,0,0,284750,280050,0
2020,231124526.87,1.21,279660677.5127,834,0,0,301500,296700,0
2021,5508316.69,1.16,6389647.3604,19,0,0,318250,313350,0
2022,739820872.12,1.07,791608333.1684,2363,0,0,335000,330000,0
2023,1537080694.24,1.03,1583193115.0672,4725,0,0,351750,346650,0
2024,649684213.78,1,649684213.78,1939,0,0,368500,363300,0
