year,CPI_inflator_2024,total_expenditure,unit_price,num_m982_produced,num_delivered_from_year,unit_price_inflation_adjusted,unit_depreciated_value,non_inflation_adjusted_depreciated_value
2005,1.61,35100000,276377.9527559056,127,127,444968.503937008,66745.2755905512,41456.692913385836
2006,1.56,48300000,150467.28971962616,321,321,234728.9719626168,46945.794392523356,30093.457943925227
2007,1.52,84500000,106557.37704918032,793,793,161967.2131147541,40491.80327868853,26639.344262295068
2008,1.46,47500000,118750,400,400,173375,52012.5,35625
2009,1.47,57900000,133103.44827586206,435,435,195662.06896551722,68481.72413793103,46586.20689655171
2010,1.44,103200000,114666.66666666667,900,900,165120,66048,45866.66666666667
2011,1.4,30500000,305000,100,100,427000,192150,137250
2012,1.37,56100000,75403.22580645162,744,744,103302.41935483873,51651.20967741936,37701.61290322581
2013,1.35,65900000.00000001,78452.38095238095,840,840,105910.71428571429,58250.892857142855,43148.80952380952
2014,1.33,75800000,81593.11087190527,929,929,108518.83745963401,65111.30247578041,48955.866523143166
2015,1.33,34600000,83173.07692307694,416,416,110620.19230769233,71903.12500000001,54062.500000000015
2016,1.31,44700000,94703.38983050847,472,472,124061.44067796611,86843.00847457627,66292.37288135593
2017,1.28,243477999.99999994,76952.59165613147,3164,523,98499.31731984828,73874.48798988621,57714.4437420986
2018,1.25,220234000,77519.88736360436,2841,0,96899.85920450545,77519.88736360436,62015.909890883486
2019,1.23,173891000,78754.98188405797,2208,0,96868.6277173913,82338.3335597826,66941.73460144928
2020,1.21,93486000,116276.11940298507,804,0,140694.10447761192,126624.69402985073,104648.50746268657
2021,1.16,86282000,117071.9131614654,737,0,135803.41926729985,129013.24830393486,111218.31750339213
2022,1.07,41068000,181716.81415929203,226,0,194436.99115044248,194436.99115044248,181716.81415929203
2023,1.03,568170438,182203.38983050847,3118,0,187669.49152542374,187669.49152542374,182203.38983050847
2024,1,43000000,185344.8275862069,232,0,185344.8275862069,185344.8275862069,185344.8275862069
